headline,url,author,pubdate
Season opener: Oregon Women’s Basketball,http://registerguard.com/rg/sports/basketball/34988281-61/season-opener-oregon-womens-basketball.html.csp,Chris Pietsch,2016-11-14 10:40:01
"Oregon falls to Stanford, 52-27",http://registerguard.com/rg/photo/34972629-321/oregon-falls-to-stanford-52-27.html.csp,"Brian Davies, Andy Nelson and Chris Pietsch",2016-11-12 18:23:51
Vietnam Veterans Memorial in Springfield,http://registerguard.com/rg/photo/34981269-321/vietnam-veterans-memorial-in-springfield.html.csp,Chris Pietsch,2016-11-12 00:04:01
2016 Election scenes from around Lane County and Oregon,http://registerguard.com/rg/photo/34968476-321/2016-election-scenes-from-around-lane-county-and-oregon.html.csp,The Register-Guard and The Associated Press,2016-11-08 16:07:45
2016 Election Day scenes from around the nation,http://registerguard.com/rg/photo/34967917-321/2016-election-day-scenes-from-around-the-nation.html.csp,The Associated Press,2016-11-08 12:01:12
Marcus Mariota and the Titans visit the Chargers,http://registerguard.com/rg/photo/34963209-321/marcus-mariota-and-the-titans-visit-the-chargers.html.csp,Andy Nelson,2016-11-06 18:22:30
A class of their own,http://registerguard.com/rg/photo/34961881-321/a-class-of-their-own.html.csp,Collin Andrew,2016-11-06 09:26:01
Oregon at USC,http://registerguard.com/rg/photo/34943244-321/oregon-at-usc.html.csp,Andy Nelson,2016-11-05 21:10:02
Fall Colors 2.0,http://registerguard.com/rg/photo/34953846-321/fall-colors-2.0.csp,Staff,2016-11-03 17:14:01
"Oregon defeats Arizona State, 54-35",http://registerguard.com/rg/photo/34937703-321/oregon-defeats-arizona-state-54-35.html.csp,Brian Davies and Chris Pietsch,2016-10-29 16:23:09
Oregon vs. Arizona State,http://registerguard.com/rg/video/34934006-319/oregon-vs.-arizona-state.csp,The Register-Guard,2016-10-29 16:12:41
Fall Colors,http://registerguard.com/rg/photo/34924263-321/fall-colors.html.csp,Staff,2016-10-25 11:52:01
"Ducks (2-5, 0-4) lose to Cal",http://registerguard.com/rg/photo/34910008-321/ducks-2-5-0-4-lose-to-cal.html.csp,Brian Davies,2016-10-21 20:55:33
Eight-man football: For the love of the game,http://registerguard.com/rg/photo/34909687-321/eight-man-football-for-the-love-of-the-game.html.csp,Adam Eberhardt,2016-10-20 09:27:01
Remembering the historic 1962 Columbus Day storm,http://registerguard.com/rg/photo/34893926-321/remembering-the-historic-1962-columbus-day-storm.html.csp,The Register-Guard,2016-10-14 17:22:58
"Oregon loses to No. 5 Washington, 70-21",http://registerguard.com/rg/photo/34868286-321/oregon-loses-to-no.-5-washington-70-21.csp,"Carl Davaz, Brian Davies and Andy Nelson",2016-10-08 16:09:42
Oregon vs. Washington State,http://registerguard.com/rg/photo/34854496-321/oregon-vs.-washington-state.csp,Chris Pietsch,2016-10-01 22:37:05
The Moving Wall,http://registerguard.com/rg/photo/34848567-321/the-moving-wall.html.csp,Brian Davies,2016-09-29 14:53:02
"Pac-12 opener: Colorado 41, Oregon 38",http://registerguard.com/rg/photo/34817359-321/pac-12-opener-colorado-41-oregon-38.html.csp,Brian Davies and Andy Nelson,2016-09-24 19:20:55
Oregon Move-In Day 2016,http://registerguard.com/rg/photo/34824480-321/oregon-move-in-day-2016.html.csp,Chris Pietsch,2016-09-22 13:22:01
